,id,channel,channel_id,date,message,message_tokenised
0,1725,afdfraktionBB,1326276537,2025-01-14,"Auch international ist dieser Tage eine Menge in Bewegung und vieles deutet daraufhin, dass Klimafanatiker, Migrations-Euphoriker und Kriegstreiber am Ende auf ganzer Linie scheitern werden. Hier ein Rückblick auf den Bürgerdialog in der vergangenen Woche mit vielen Themen, sehr vielen Gästen - und mit Dr.","international Menge Bewegung vieles deutet daraufhin , Klimafanatiker , Migrations-Euphoriker Kriegstreiber Linie scheitern . Rückblick Bürgerdialog Woche Themen , Gästen - Dr."
1,1653,afdfraktionBB,1326276537,2024-11-27,"Und statt den übergriffigen Staat oder den gierigen Staatsfunk einzudämmen, werden linke Gruppierungen weiter mit Steuergeld gefüttert. Klimagedöns gibt's noch obendrauf. Man kann es nicht anders sagen: Das BSW hat sich für Ministerposten an die SPD verkauft.","übergriffigen Staat gierigen Staatsfunk einzudämmen , linke Gruppierungen Steuergeld gefüttert . Klimagedöns gibt's obendrauf . sagen : BSW Ministerposten SPD verkauft ."
2,1618,afdfraktionBB,1326276537,2024-11-13,Klimaneutral aber pleite Die Automobilindustrie geht krachen und die Altparteien schreien Hurra. Denn was könnte besser für das Klima sein als geschlossene Werkstore?,Klimaneutral pleite Automobilindustrie krachen Altparteien schreien Hurra . Klima geschlossene Werkstore ?
3,1610,afdfraktionBB,1326276537,2024-11-06,"„Congratulations, Mr. President“   Amerika hat gewählt – und gezeigt, dass der Stern der Globalisten, Klimafanatiker, Genderideologen und Kriegstreiber sinkt. Dementsprechend fallen die Reaktionen auf den Wahlsieg von Donald Trump auch hierzulande aus: Da wird geätzt, getobt, gewarnt.","„ Congratulations , Mr. President “    Amerika gewählt – gezeigt , Stern Globalisten , Klimafanatiker , Genderideologen Kriegstreiber sinkt . fallen Reaktionen Wahlsieg Donald Trump hierzulande : geätzt , getobt , gewarnt ."
4,1609,afdfraktionBB,1326276537,2024-11-05,"„Kurz vor der Wahl hatte die SPD-geführte Kenia-Koalition noch die letzten Ersparnisse des Landes in Höhe von 850 Millionen Euro für ihre Klima- und Ideologieprojekte auf den Kopf gehauen. Das fällt den Sozialdemokraten und ihrem nächsten Koalitionspartner nun auf die Füße“, sagt der finanzpolitische Sprecher der AfD-Fraktion, Andreas Galau.","„ Wahl SPD-geführte Kenia-Koalition letzten Ersparnisse Landes Höhe 850 Millionen Euro Klima- Ideologieprojekte Kopf gehauen . fällt Sozialdemokraten nächsten Koalitionspartner Füße “ , finanzpolitische Sprecher AfD-Fraktion , Andreas Galau ."
5,1595,afdfraktionBB,1326276537,2024-10-10,"Wir lassen die Älteren nicht im Stich! Flaschen sammeln, Minijobben, jeden Cent drei Mal umdrehen – es ist eine Schande, wie Rentner in diesem Land mittlerweile leben müssen. Geld ist genug da, doch es wird mit vollen Händen ins Ausland verschenkt oder in die Klima-, Asyl- und Umerziehungsindustrie gekippt.","lassen Älteren Stich ! Flaschen sammeln , Minijobben , Cent Mal umdrehen – Schande , Rentner Land mittlerweile leben . Geld , vollen Händen Ausland verschenkt Klima- , Asyl- Umerziehungsindustrie gekippt ."
6,1567,afdfraktionBB,1326276537,2024-09-03,"Wir machen Schulen besser! Seit 32 Jahren stellt die SPD in Brandenburg die Bildungsminister. Das Ergebnis ist verheerend: Lehrermangel, Unterrichtsausfall, immer weiter sinkende Bildungsstandards. Dafür werden die Kinder an den Schulen heute indoktriniert und politisch auf Linie getrimmt: Vielfalt, Klima, Genderblödsinn.","Schulen ! 32 stellt SPD Brandenburg Bildungsminister . Ergebnis verheerend : Lehrermangel , Unterrichtsausfall , sinkende Bildungsstandards . Kinder Schulen indoktriniert politisch Linie getrimmt : Vielfalt , Klima , Genderblödsinn ."
7,1554,afdfraktionBB,1326276537,2024-08-27,"Die gesundheitspolitische Sprecherin der AfD-Fraktion im Landtag, Dr. Daniela Oeynhausen, kritisiert das Ende scharf: „Während die Landesregierung hemmungslos Steuergeld für Klima-Wahn und Migranten verschleudert, wird an der Gesundheit gespart.","gesundheitspolitische Sprecherin AfD-Fraktion Landtag , Dr. Daniela Oeynhausen , kritisiert scharf : „ Landesregierung hemmungslos Steuergeld Klima-Wahn Migranten verschleudert , Gesundheit gespart ."
8,1544,afdfraktionBB,1326276537,2024-08-01,"Das Recht auf kommunale Selbstbestimmung wird von der Landesregierung und ihren Fraktionen eher flexibel gehandhabt: Man beruft sich darauf, immer wenn man als guter Demokrat dastehen möchte – und man unterläuft es, wenn sich dadurch die eigene Politik besser durchsetzen lässt. Stichworte gibt's genug: Flüchtlingskrise, Energiewende, Planungsrecht.","kommunale Selbstbestimmung Landesregierung Fraktionen eher flexibel gehandhabt : beruft , Demokrat dastehen – unterläuft , Politik durchsetzen lässt . Stichworte gibt's : Flüchtlingskrise , Energiewende , Planungsrecht ."
9,1522,afdfraktionBB,1326276537,2024-07-17,"Das belegen die über 32.000 Bürgeranfragen allein zu diesem Thema bei der Verbraucherzentrale. Eine erschreckend hohe Zahl, die angesichts von Klima-Wahn, Kernkraft-Aus und Kriegsfolgen leider vorhersehbar war. Wie immer müssen die Bürger für politische Fehler der Altparteien-Regierungen bluten.""","belegen 32.000 Bürgeranfragen Thema Verbraucherzentrale . erschreckend hohe Zahl , angesichts Klima-Wahn , Kernkraft-Aus Kriegsfolgen vorhersehbar . Bürger politische Fehler Altparteien-Regierungen bluten . """
10,1509,afdfraktionBB,1326276537,2024-07-10,Davon gibt es nicht einmal mehr ansatzweise genug: Um den verfügbaren Wohnraum laufen regelrechte Verteilkämpfe – der Massenmigration sei Dank – und neu gebaut wird kaum noch. Und das liegt vor allem an der fatalen Energiewendepolitik.,ansatzweise : verfügbaren Wohnraum laufen regelrechte Verteilkämpfe – Massenmigration – neu gebaut . liegt fatalen Energiewendepolitik .
11,1498,afdfraktionBB,1326276537,2024-07-03,"Die Familienpolitik in Land und Bund scheint nicht mehr zu sein als “betreutes Aussterben”: Denn statt die Familiengründung zu fördern und für eine Willkommenskultur für Kinder zu sorgen, wird das Steuergeld in die Flüchtlingsindustrie, in Ideologieprojekte und Klima-Unsinn investiert.","Familienpolitik Land Bund scheint “ betreutes Aussterben ” : Familiengründung fördern Willkommenskultur Kinder sorgen , Steuergeld Flüchtlingsindustrie , Ideologieprojekte Klima-Unsinn investiert ."
12,1472,afdfraktionBB,1326276537,2024-06-25,"Bröckelnde Hochschulen endlich sanieren! | Die Blaue Runde, Ausgabe 38 Verfehlte Migrationspolitik, unsinnige Energiewende, verpeilte Verkehrspolitik - die noch ein paar Tage regierende Potsdamer Koalition aus SPD, CDU und Grünen ist Weltmeister im Verschwenden von Steuergeld.","Bröckelnde Hochschulen sanieren ! | Blaue Runde , Ausgabe 38 Verfehlte Migrationspolitik , unsinnige Energiewende , verpeilte Verkehrspolitik - paar regierende Potsdamer Koalition SPD , CDU Grünen Weltmeister Verschwenden Steuergeld ."
13,1417,afdfraktionBB,1326276537,2024-06-03,"Wie so oft wird auch hier die Landesregierung versuchen, den Gründern und und späteren Mitarbeitern ihre politische Agenda überzustülpen. Dass die Unabhängigkeit der Wissenschaft unter den Altparteien leidet, müssen wir immer wieder erleben – sei es bei Corona, beim Klimaschwindel oder beim Geschlechter-Unsinn.","Landesregierung versuchen , Gründern späteren Mitarbeitern politische Agenda überzustülpen . Unabhängigkeit Wissenschaft Altparteien leidet , erleben – Corona , Klimaschwindel Geschlechter-Unsinn ."
14,1413,afdfraktionBB,1326276537,2024-05-30,"Energiewende ohne Demokratie So sieht sie aus, die vielzitierte ""Transformation"" der Altparteien: Kostbares Ackerland wird in Solarfarmen umgewandelt, grüner Wald in Windplantagen.","Energiewende Demokratie sieht , vielzitierte "" Transformation "" Altparteien : Kostbares Ackerland Solarfarmen umgewandelt , grüner Wald Windplantagen ."
15,1413,afdfraktionBB,1326276537,2024-05-30,"Die Berliner Ampel und auch die Brandenburger Landesregierung drücken auf die Tube und räumen an Parlament und Bürgern vorbei ihrer Energiewende rechtliche Steine aus dem Weg. Bei der Raumplanung werden in Zukunft Verfahren vereinfacht, Beteiligungen ausgesetzt, Umweltprüfungen verkommen zur Makulatur.","Berliner Ampel Brandenburger Landesregierung drücken Tube räumen Parlament Bürgern vorbei Energiewende rechtliche Steine Weg . Raumplanung Zukunft Verfahren vereinfacht , Beteiligungen ausgesetzt , Umweltprüfungen verkommen Makulatur ."
16,1400,afdfraktionBB,1326276537,2024-05-22,"Dazu kommt, dass Pädagogen nicht mehr einfach nur lehren dürfen: Sie müssen auch die politische Erziehung der Kinder im Sinne der links-grünen Ideologie vorantreiben, in der es nur noch um Klima, Sexualität und Selbsthass geht. Ist es mit all dem erst einmal vorbei, wollen junge Menschen auch wieder Lehrer werden!",", Pädagogen einfach lehren : politische Erziehung Kinder Sinne links-grünen Ideologie vorantreiben , Klima , Sexualität Selbsthass . all vorbei , junge Menschen Lehrer !"
17,1397,afdfraktionBB,1326276537,2024-05-21,"Wasserhaushalt regulieren – ohne Klimaideologie! Egal, womit sich die Altparteien beschäftigen: Es wird immer ihrer Klimaideologie unterstellt. Und so bleiben pragmatische Lösungen auf der Strecke, während den Bürgern auch noch Geld aus der Tasche gezogen wird.","Wasserhaushalt regulieren – Klimaideologie ! Egal , womit Altparteien beschäftigen : Klimaideologie unterstellt . bleiben pragmatische Lösungen Strecke , Bürgern Geld Tasche gezogen ."
18,1397,afdfraktionBB,1326276537,2024-05-21,Dafür lässt man lieber unerledigte Konzepte erstellen und erfindet – welche Überraschung – neue Abgaben. Hier die Abrechnung unseres klimapolitischen Sprechers Lars Günther.,lässt unerledigte Konzepte erstellen erfindet – Überraschung – Abgaben . Abrechnung unseres klimapolitischen Sprechers Lars Günther .
19,1376,afdfraktionBB,1326276537,2024-05-06,"In der Asyl-Industrie sieht es da schon anders aus, aber da winken ja auch Steuermittel ohne Ende. Peter Drenske, arbeitsmarktpolitischer Sprecher der AfD-Fraktion im Landtag, fordert: Zuerst einmal müssen Preistreiber wie Horror-Energiekosten und unsinnige CO2-Steuern weg, denn die treiben den Mittelstand reihenweise in die Pleite.","Asyl-Industrie sieht , winken Steuermittel . Peter Drenske , arbeitsmarktpolitischer Sprecher AfD-Fraktion Landtag , fordert : Preistreiber Horror-Energiekosten unsinnige CO2-Steuern weg , treiben Mittelstand reihenweise Pleite ."
20,1373,afdfraktionBB,1326276537,2024-05-03,"Verkehrswende der Altparteien: Autofahren verteuern, Bahnstrecken schließen Was für ein Armutszeugnis: In den vergangenen 30 Jahren ist das Eisenbahnnetz in Brandenburg nicht etwa gewachsen, sondern um insgesamt 1000 Kilometer geschrumpft.","Verkehrswende Altparteien : Autofahren verteuern , Bahnstrecken schließen Armutszeugnis : 30 Eisenbahnnetz Brandenburg gewachsen , insgesamt 1000 Kilometer geschrumpft ."
21,1362,afdfraktionBB,1326276537,2024-04-26,"Ab Herbst beginnen wir mit dem Wiederaufbau! Energiewende, Verkehrswende, Wärmewende, Ernährungswende: In Endlosschleife wollen die Altparteien das Leben jedes Einzelnen umkrempeln – und es damit entbehrungsreich und teurer machen. Wir brauchen nur eine Wende, wie der Digitalpolitische Sprecher der AfD-Fraktion im Landtag, Dr.","Herbst beginnen Wiederaufbau ! Energiewende , Verkehrswende , Wärmewende , Ernährungswende : Endlosschleife Altparteien Leben jedes Einzelnen umkrempeln – entbehrungsreich teurer . brauchen Wende , Digitalpolitische Sprecher AfD-Fraktion Landtag , Dr."
22,1337,afdfraktionBB,1326276537,2024-04-18,"CO2-Bepreisung stoppen! Unsinniger geht es kaum: Den Bürgern wird mit der CO₂-Bepreisung mittlerweile sogar die Luft besteuert, dafür sollte mit dem Klimageld ein Ausgleich geschaffen werden. Dieser Ausgleich kommt erst einmal nicht, weil der Bund knapp bei Kasse ist. Dazu führt Dr. Philip Zeschmann aus.","CO2-Bepreisung stoppen ! Unsinniger : Bürgern CO₂-Bepreisung mittlerweile sogar Luft besteuert , Klimageld Ausgleich geschaffen . Ausgleich , Bund knapp Kasse . führt Dr. Philip Zeschmann ."
23,1335,afdfraktionBB,1326276537,2024-04-17,"Stromkrise in Oranienburg Durch den Klima-Wahnsinn von Rot-Grün gehen der ersten Stadt in Brandenburg die Kapazitäten aus. In Oranienburg können keine neuen Stromanschlüsse mehr bereitgestellt werden. Die Stadtwerke begründen, dass das örtliche Stromnetz für die stark wachsende Einwohnerzahl nicht mehr ausreicht.","Stromkrise Oranienburg Klima-Wahnsinn Rot-Grün Stadt Brandenburg Kapazitäten . Oranienburg Stromanschlüsse bereitgestellt . Stadtwerke begründen , örtliche Stromnetz stark wachsende Einwohnerzahl ausreicht ."
24,1335,afdfraktionBB,1326276537,2024-04-17,"Die gesamte Energiewende dient nur dazu, einer bestimmten Klientel die Taschen zu füllen und ist in keinem Punkt bis zu Ende gedacht. In Oranienburg sieht man, was dabei herauskommt. Die Roten und Grünen wollen keine fossilen Energieträger verbrennen – und verbrennen dafür das Geld von Land und Bürgern.","gesamte Energiewende dient , bestimmten Klientel Taschen füllen Punkt gedacht . Oranienburg sieht , herauskommt . Roten Grünen fossilen Energieträger verbrennen – verbrennen Geld Land Bürgern ."
25,1333,afdfraktionBB,1326276537,2024-04-17,"Stromkrise bald überall? Der Vorsitzende der AfD-Fraktion im Landtag Brandenburg, Dr. Christoph Berndt , sieht in Oranienburg das Ergebnis der verhängnisvollen Energiewende-Politik der Altparteien","Stromkrise überall ? Vorsitzende AfD-Fraktion Landtag Brandenburg , Dr. Christoph Berndt , sieht Oranienburg Ergebnis verhängnisvollen Energiewende-Politik Altparteien"
